igi.event,daten,focal,rival,n.adults,mean.age
271,38967,2,1B,27,1172.333333
272,38979,2,1N,33,1003.909091
273,38996,1B,2,26,1234.230769
274,39008,4B,11,26,1147.038462
275,39014,1B,2,25,1264.68
276,39020,1H,7A,23,1520.434783
277,39022,2,1N,33,1046.909091
278,39023,2,1B,33,1047.909091
279,39024,1H,1B,23,1524.434783
280,39042,1B,15,25,1292.68
281,39044,2,1B,33,1068.909091
282,39047,4B,11,28,1116.178571
283,39052,11,4B,25,1369.48
284,39060,1B,11,25,1310.68
285,39093,2,1B,34,1095.264706
286,39100,1B,2,25,1350.68
287,39122,11A,11,10,1536.3
288,39125,1B,15,30,1180.9
289,39130,11A,1B,5,1935
290,39131,2,11A,34,1133.264706
291,39133,1B,2,30,1188.9
292,39134,11A,7A,5,1939
293,39136,2,11B,33,1151.818182
294,39137,11B,1B,4,1143.75
295,39141,1B,11B,30,1196.9
296,39141,1B,2,30,1196.9
297,39148,1B,2,30,1203.9
298,39153,2,15,32,1193.90625
300,39157,4B,11,12,1273.833333
301,39168,1H,7A,20,1508.35
302,39181,11,2,15,1159.6
303,39182,11,2,15,1160.6
304,39186,2,1B,30,1162.933333
305,39195,1B,16,29,1236.482759
306,39197,2,1B,30,1173.933333
307,39200,17,4B,9,1333.444444
308,39200,11,1B,15,1178.6
309,39202,7A,1H,13,962.5384615
310,39205,4B,17,17,997.1764706
311,39212,17,4B,9,1345.444444
312,39213,2,4B,30,1189.933333
313,39213,1H,1B,17,1525.470588
314,39213,4B,17,17,1005.176471
315,39215,17,4B,9,1348.444444
316,39231,17,4B,9,1364.444444
318,39246,1B,2,32,1178.875
319,39256,17,4B,9,1389.444444
320,39258,2,17,30,1234.933333
321,39260,2,17,30,1236.933333
322,39266,2,17,30,1242.933333
323,39289,17,11,8,1360.75
